title,link,blogger,postdate,likes,comments,content,days_since,recency_score,engagement,engagement_score,category_score,final_score
시각장애인도 즐기는 1:1 맞춤 메이크업 원데이 클래스... ,https://blog.naver.com/sed1ove/223976333312,제이알메이크업마곡 (뷰티/메이크업/특수분장),20250819,0,0,"













제이알메이크업마곡 (뷰티/메이크업/특수분장) : 네이버 블로그







",1,1.0,0,0.0,1.0,60.0
입냄새 확실히 잡는 무알콜 구강스프레이 리브러쉬 스프레이 <b>후기</b>,https://blog.naver.com/42charity/223976335229,"M o O n, 오늘",20250819,0,0,"













M o O n, 오늘 : 네이버 블로그







",1,1.0,0,0.0,0.5,44.99999999999999
두디트 스웰팝 몸이 가벼워지는 항산화루틴 다이어트 보조제 추천,https://blog.naver.com/hansol_28/223976334386,냥냥솔솔,20250819,0,0,"













냥냥솔솔 : 네이버 블로그







",1,1.0,0,0.0,0.5,44.99999999999999
"디올 립글로우 001 핑크, 왜 품절대란? 내돈내산 솔직 <b>후기</b>!",https://blog.naver.com/new-goods/223976334188,new-goods님의 블로그,20250819,0,0,"













new-goods님의 블로그 : 네이버 블로그







",1,1.0,0,0.0,0.5,44.99999999999999
티르티르 [TIRTIR] 마스크 핏 아우라 쿠션 미니 17씨 포슬린,https://blog.naver.com/spaceoutgina/223976325657,오늘도지나가요,20250819,0,0,"













오늘도지나가요 : 네이버 블로그







",1,1.0,0,0.0,0.5,44.99999999999999
